Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE
CERTIII,South Metropolitan TAFE,Rockingham,CPC31211 Certificate III in Wall and Ceiling Lining,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-wall-and-ceiling-lining,English,A,When you complete the Certificate III in Wall and Ceiling Lining you will be ready for a certified trade career as a wall and ceiling liner.,,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTIII,South Metropolitan TAFE,Rockingham,CPC31311 Certificate III in Wall and Floor Tiling,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iii-wall-and-floor-tiling,English,A,When you complete the Certificate III in Wall and Floor Tiling you will be ready for a certified trade career as a wall and floor tiler.,,Australia,Yes,Yes,,Yes,Yes,OLNA or NAPLAN 9 Band 8 or C Grades in Year 10 English and Maths or equivalent or Certificate I or Certificate II,Apprenticeship,No
CERTI,South Metropolitan TAFE,Thornlie,BSB41419 Certificate IV in Work Health and Safety,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-work-health-and-safety,English,A,"When you complete the Certificate IV in Work Health and Safety you can expect to be a valued addition to any organisation as a work health and safety officer, or WHS coordinator.","Safety Inspector, Occupational & Environmental Health Professional",Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Normal,No
DIP,South Metropolitan TAFE,Thornlie,BSB51319 Diploma of Work Health and Safety,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/diploma-work-health-and-safety,English,A,"When you complete the Diploma of Work Health and Safety you can expect to be a valued addition to any organisation as a compliance officer, or WHS manager.","Compliance officer, Work, health and safety manager",Australia,Yes,Yes,,Yes,Yes,Completion of WACE General or ATAR (Minimum C Grades) or equivalent or Completion of WACE General or ATAR or equivalent (minimum C Grades) or Certificate III,Normal,No
,South Metropolitan TAFE,,Work Ready Painting and Decorating Skill Set,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/work-ready-painting-and-decorating-skill-set,English,A,"This five-day short course will provide students with a taste of the Painting industry, as well as an opportunity to obtain a White Card.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Mandurah,Work Safety in Construction Skill Set,Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/work-safety-construction-skill-set,English,A,Learn the skills to prepare for a career in construction and pick up your White Card along the way.,Building and construction labourer,Australia,Yes,Yes,,Yes,Yes,,Normal,No
,South Metropolitan TAFE,Mandurah,Work Safety in Construction Skill Set (Fee Free),Building and Construction,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/work-safety-construction-skill-set-fee-free,English,A,Learn the skills to prepare for a career in construction and pick up your White Card along the way.,Building and construction labourer,Australia,Yes,Yes,,Yes,Yes,,Normal,No
DIP,South Metropolitan TAFE,Rockingham,FNS50217 Diploma of Accounting,Business and Finance,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/diploma-accounting,English,A,"Acquire the specific accounting techniques that will become the tools of your trade. The Diploma of Accounting will build on your knowledge gained at the Certificate IV level, and will prepare you for accounting positions within larger corporate organisations and growing companies. You will gain a more detailed understanding of day-to-day accounting work through practical training in operational activities.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
ADIP,South Metropolitan TAFE,Rockingham,FNS60217 Advanced Diploma of Accounting,Business and Finance,,,AUD,Year,1,Semester,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/advanced-diploma-accounting,English,A,"If you enjoy accounting and mathematics, have an analytical mind and would like to work in the accounting profession, then our Advanced Diploma of Accounting is for you. Accountants support their clients with regular monitoring, analysis, preparation of documents, reports and accounts, and advice.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No
CERTI,South Metropolitan TAFE,Rockingham,FNS40217 Certificate IV in Accounting and Bookkeeping,Business and Finance,,,AUD,Year,,,,,,,,,https://www.southmetrotafe.wa.edu.au/courses/certificate-iv-accounting-and-bookkeeping,English,A,This course has replaced the following courses:,,Australia,Yes,Yes,,Yes,Yes,"C Grades in Year 11 WACE General English, and OLNA; or NAPLAN 9 Band 8 or C Grades in Year 11 English and Maths or equivalent or Certificate II or Certificate III",Traineeship,No
