Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks
GCERT,Victoria University,City Flinders,Graduate Certificate in Digital Media,College of Arts and Education,"13,500",,AUD,Year,0.5,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/ATDM,English,A,"Enhance your career options as a digital media practitioner and become a leader in a global industry with the Graduate Certificate in Digital Media. This course specialises in delivering the latest in industry practices and processes. Informed by our course advisory panel industry practitioners from industry and government, our curriculum is flexible and regularly updated. You'll study developments such as 'app' development, search engine optimisation, content strategy and social network analytics.",digital media production and post-production/ digital marketing management/ mobile and web design/ digital media strategy.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,City Flinders,Graduate Diploma in Digital Media,College of Arts and Education,"13,500",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/AGDM,English,A,,digital media 'all rounder'/ UX (user experience) practitioner/ digital media producer/ digital marketing manager/ e-learning designer/ mobile and web designer/ digital media strategist/ social media strategy and analyst.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,City Flinders,Master of Digital Media,College of Arts and Education,"13,500",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/AMDM,English,A,Shake up the digital-media landscape and be at the forefront of this rapidly moving global industry with VU's Master of Digital Media. Advance your career options as a digital media professional or learn how to implement innovative digital transformations in your current industry. VU’s Master of Digital Media is designed for a future-focused professional with an entrepreneurial spirit.,digital media 'all rounder'/ UX (user experience) practitioner/ digital media producer/ digital marketing manager/ e-learning designer/ mobile and web designer/ digital media strategist/ social media strategy and analyst/ cross-media practitioner.,Australia,Yes,Yes,,Yes,Yes,
CERTI,Victoria University,Footscray Nicholson,Certificate III in Early Childhood Education and Care,VU Polytechnic,"7,500",,AUD,Year,0.5,Year,IELTS,,,5.5,,,https://www.vu.edu.au/courses/international/CHC30113,English,A,"Turn your passion for working with children into a career with a Certificate III in Early Childhood Education and Care at Victoria University Polytechnic. This course covers the fundamentals of childhood development and caring for children. You’ll gain the skills and expertise to provide quality education for children in a range of environments. Through classroom learning and two practical placements in daycare settings, you’ll learn to plan activities focused on children’s development.",homes/ childcare centres/ community services/ education programs.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,,Graduate Diploma in Early Childhood Education,College of Arts and Education,,,AUD,Year,,Year,IELTS,,,": Overall 7.0 with Listening 7.5, Reading 6.5, Writing 6.5, Speaking 7.5. OR the following sc",,,https://www.vu.edu.au/courses/international/EGEC,English,A,"Launch a rewarding and in-demand career, with VU's one-year Graduate Diploma of Early Childhood Education. Our graduate diploma allows graduates of degree programs to become early-childhood teachers. You'll engage with units focused on children from birth to five years, learning how teaching practice can include children and families as capable participants in education.","public or private kindergartens (preschool)/ long-day-care centres/ early-childhood centres in the state of Victoria, Australia.",Australia,Yes,Yes,,Yes,Yes,
GCERT,Victoria University,Footscray Park,Graduate Certificate in Education,College of Arts and Education,"13,500",,AUD,Year,0.5,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/ETED,English,A,"Gain an advanced knowledge of learning and teaching applicable to the education sector, community, government and industry. This certificate is the first step in our graduate program in education. It is tailored to trainers and teachers in education, community, government and industry. Our graduate education course gives you an overview of the latest high-level education theory. You’ll learn contemporary ideas and techniques in:",education professional in schools or other settings/ manager in specialist education/ workplace trainer.,Australia,Yes,Yes,,Yes,Yes,
GDIP,Victoria University,Footscray Park,Graduate Diploma in Education,College of Arts and Education,"13,500",,AUD,Year,1,Year,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/EGED,English,A,"Gain advanced skills and knowledge for a variety of education settings. The Graduate Diploma of Education extends your career prospects into new and exciting areas. This course is designed to meet the needs of trainers and teachers in education, community, government and industry. It builds on your qualifications or experience – preparing you for higher roles. The course provides a perfect mix of hands-on practice and education theory. You’ll gain the confidence and skill set needed to lead school or workplace programs.",education professional in schools or other settings/ manager in specialist education/ policy maker or developer/ workplace trainer.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Education,,"13,900",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/HRED,English,A,,commissioning editor for a specialist academic journal/ presenting at different conferences and travel throughout Australia and around the world/ employment with a university conducting research/ visiting key international research institutes.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray Park,Master of Education,College of Arts and Education,"13,500",,AUD,Year,2,Years,IELTS,,,6.5,,,https://www.vu.edu.au/courses/international/EMED,English,A,"Build on your education experience by studying the latest theory and research with a Master of Education from Victoria University. This flexible coursework program is underpinned by a strong commitment to and focus on, social justice, sustainability and ethical action. You will gain the skills and confidence to address educational challenges and opportunities in education, community, government and industry. Learning from passionate and experienced educators, you'll gain advanced knowledge about the theory and practice of learning and teaching. This course is designed for teachers, principals, community educators, youth workers, policy-makers or any professional whose work has an educational component or responsibility.",education in schools or other settings / policy making and development/ training in the workplace.,Australia,Yes,Yes,,Yes,Yes,
MST,Victoria University,Footscray ParkWerribee,Master of Engineering (By Research),,"16,550",,AUD,Year,2,Years,,,,,,,https://www.vu.edu.au/courses/international/ERIT,English,A,Develop your knowledge and focus your practical skills on a specific research area in engineering with the Master of Engineering (by Research). As part of this course you'll increase your knowledge and practical skills with a research project in a specific area of engineering. Our College of Engineering and Science has high-tech engineering labs and a very strong research community.,"power generation, transmission, distribution, management and control/ managing, designing and developing telecommunication network systems/ microelectronic and electronic design/ water-related government organisations and private firms.",Australia,Yes,Yes,,Yes,Yes,
